Density profile based on an MSIS profile.
This profile is just meant as an example for the conceptual model.
It has no further scientific meaning.
The molekular density is given in 1/cm^3 and the altitude in km.

idx;altitude;density
220;44.0;5.62253e+16
221;44.2;5.4792e+16
222;44.4;5.3409e+16
223;44.6;5.20564e+16
224;44.8;5.07441e+16
225;45.0;4.94722e+16
226;45.2;4.82306e+16
227;45.4;4.70113e+16
228;45.6;4.58443e+16
229;45.8;4.46936e+16
230;46.0;4.35792e+16
231;46.2;4.24921e+16
232;46.4;4.14412e+16
233;46.6;4.04166e+16
234;46.8;3.94183e+16
235;47.0;3.84452e+16
236;47.2;3.74984e+16
237;47.4;3.65767e+16
238;47.6;3.56804e+16
239;47.8;3.48092e+16
240;48.0;3.39523e+16
241;48.2;3.31315e+16
242;48.4;3.2325e+16
243;48.6;3.15327e+16
244;48.8;3.07755e+16
245;49.0;3.00226e+16
246;49.2;2.93038e+16
247;49.4;2.85992e+16
248;49.6;2.79087e+16
249;49.8;2.72315e+16
250;50.0;2.65784e+16
251;50.2;2.59494e+16
252;50.4;2.53236e+16
253;50.6;2.4721e+16
254;50.8;2.41325e+16
255;51.0;2.35571e+16
256;51.2;2.29939e+16
257;51.4;2.24548e+16
258;51.6;2.19178e+16
259;51.8;2.1405e+16
260;52.0;2.08942e+16
261;52.2;2.04066e+16
262;52.4;1.99211e+16
263;52.6;1.94588e+16
264;52.8;1.89985e+16
265;53.0;1.85503e+16
266;53.2;1.81153e+16
267;53.4;1.76923e+16
268;53.6;1.72814e+16
269;53.8;1.68737e+16
270;54.0;1.6477e+16
271;54.2;1.60934e+16
272;54.4;1.57209e+16
273;54.6;1.53505e+16
274;54.8;1.49921e+16
275;55.0;1.46459e+16
276;55.2;1.43117e+16
277;55.4;1.39786e+16
278;55.6;1.36475e+16
279;55.8;1.33286e+16
280;56.0;1.30207e+16
281;56.2;1.27209e+16
282;56.4;1.24251e+16
283;56.6;1.21364e+16
284;56.8;1.18548e+16
285;57.0;1.15782e+16
286;57.2;1.13097e+16
287;57.4;1.10462e+16
288;57.6;1.07888e+16
289;57.8;1.053745e+16
290;58.0;1.029115e+16
291;58.2;1.005091e+16
292;58.4;9815710000000000.0
293;58.6;9585560000000000.0
294;58.8;9360460000000000.0
295;59.0;9140400000000000.0
296;59.2;8925390000000000.0
297;59.4;8714430000000000.0
298;59.6;8508500000000000.0
299;59.8;8307620000000000.0
300;60.0;8110780000000000.0
301;60.2;7917980000000000.0
302;60.4;7729220000000000.0
303;60.6;7544490000000000.0
304;60.8;7363800000000000.0
305;61.0;7187150000000000.0
306;61.2;7014540000000000.0
307;61.4;6844960000000000.0
308;61.6;6680410000000000.0
309;61.8;6517900000000000.0
310;62.0;6360420000000000.0
311;62.2;6203970000000000.0
312;62.4;6052550000000000.0
313;62.6;5904170000000000.0
314;62.8;5759810000000000.0
315;63.0;5617480000000000.0
316;63.2;5478180000000000.0
317;63.4;5341910000000000.0
318;63.6;5208660000000000.0
319;63.8;5078440000000000.0
320;64.0;4951250000000000.0
321;64.2;4827090000000000.0
322;64.4;4705350000000000.0
323;64.6;4585230000000000.0
324;64.8;4468640000000000.0
325;65.0;4354580000000000.0
326;65.2;4243130000000000.0
327;65.4;4134210000000000.0
328;65.6;4027810000000000.0
329;65.8;3922940000000000.0
330;66.0;3820590000000000.0
331;66.2;3721750000000000.0
332;66.4;3623440000000000.0
333;66.6;3528550000000000.0
334;66.8;3435079999999999.5
335;67.0;3344130000000000.0
336;67.2;3255600000000000.0
337;67.4;3168580000000000.0
338;67.6;3082990000000000.0
339;67.8;2999810000000000.0
340;68.0;2918950000000000.0
341;68.2;2839610000000000.0
342;68.4;2762690000000000.0
343;68.6;2686080000000000.0
344;68.8;2612990000000000.0
345;69.0;2540120000000000.5
346;69.2;2469760000000000.0
347;69.4;2401720000000000.5
348;69.6;2333990000000000.0
349;69.8;2268680000000000.0
350;70.0;2204680000000000.0
351;70.2;2143000000000000.0
352;70.4;2081730000000000.0
353;70.6;2022680000000000.0
354;70.8;1964030000000000.0
355;71.0;1907710000000000.0
356;71.2;1852590000000000.0
357;71.4;1798890000000000.0
358;71.6;1746400000000000.0
359;71.8;1695219999999999.8
360;72.0;1646360000000000.0
361;72.2;1597810000000000.0
362;72.4;1550470000000000.0
363;72.6;1505540004332000.0
364;72.8;1460830005247000.0
365;73.0;1417320006354000.0
366;73.2;1375130007690000.0
367;73.4;1334250009302000.0
368;73.6;1295580011240000.0
369;73.8;1256920013580000.0
370;74.0;1219680016400000.0
371;74.2;1183540019780000.0
372;74.4;1148310023830000.0
373;74.6;1114290028680000.0
374;74.8;1080980034490000.0
375;75.0;1048780041430000.0
376;75.2;1017386049700000.0
377;75.4;986801059540000.0
378;75.6;957023071240000.0
379;75.8;928052085130000.0
380;76.0;899789101600000.0
381;76.2;872432121000000.0
382;76.4;845682143900000.0
383;76.6;819539170900000.0
384;76.8;794202202600000.0
385;77.0;769571239800000.0
386;77.2;745546283200000.0
387;77.4;722127334000000.0
388;77.6;699214393100000.0
389;77.8;677106461700000.0
390;78.0;655404541300000.0
391;78.2;634307633400000.0
392;78.4;613815739600000.0
393;78.6;593828861800000.0
394;78.8;574348002000000.0
395;79.0;555470163000000.0
396;79.2;536998346000000.0
397;79.4;519131555000000.0
398;79.6;501567793000000.0
399;79.8;484610062000000.0
400;80.0;468145366000000.0
401;80.2;452035708000000.0
402;80.4;436420094000000.0
403;80.6;421298525000000.0
404;80.8;406482008000000.06
405;81.0;392148546000000.0
406;81.2;378309145000000.0
407;81.4;364752807999999.94
408;81.6;351691542000000.0
409;81.8;338913350000000.0
410;82.0;326619239000000.0
411;82.2;314608214000000.0
412;82.4;303070279999999.94
413;82.6;291816440000000.0
414;82.8;280835699999999.97
415;83.0;270328070000000.0
416;83.2;260094550000000.0
417;83.4;250243150000000.0
418;83.6;240655859999999.97
419;83.8;231330700000000.03
420;84.0;222378659999999.97
421;84.2;213689760000000.0
422;84.4;205363980000000.03
423;84.6;197200339999999.97
424;84.8;189399830000000.0
425;85.0;181851450000000.0
426;85.2;174576210000000.0
427;85.4;167544099999999.97
428;85.6;160773130000000.0
429;85.8;154245280000000.0
430;86.0;147979550000000.0
431;86.2;141855940000000.0
432;86.4;135995449999999.98
433;86.6;130366060000000.0
434;86.8;124948769999999.98
435;87.0;119734580000000.0
436;87.2;114701470000000.02
437;87.4;109869440000000.0
438;87.6;105220470000000.02
439;87.8;100752750000000.02
440;88.0;96456780000000.0
441;88.2;92322440000000.0
442;88.4;88359620000000.0
443;88.6;84558300000000.0
444;88.8;80898400000000.0
445;89.0;77399800000000.0
446;89.2;74032500000000.0
447;89.4;70796500000000.0
448;89.6;67701800000000.0
449;89.8;64738100000000.0
450;90.0;61885500000000.0
451;90.2;59153900000000.0
452;90.4;56533300000000.0
453;90.6;54043600000000.0
454;90.8;51644900000000.0
455;91.0;49351000000000.0
456;91.2;47162900000000.0
457;91.4;45066600000000.0
458;91.6;43070000000000.0
459;91.8;41152100000000.0
460;92.0;39323900000000.0
461;92.2;37583300000000.0
462;92.4;35919300000000.0
463;92.6;34332900000000.0
